"SD GUARANTEED BY 1PM (£2500)","SD GUARANTEED BY 1PM (£2500)"
"SD GUARANTEED BY 9AM","SD GUARANTEED BY 9AM"
"SD GUARANTEED BY 9AM (£1000)","SD GUARANTEED BY 9AM (£1000)"
"SD GUARANTEED BY 9AM (£2500)","SD GUARANTEED BY 9AM (£2500)"
"1ST AND 2ND CLASS ACCOUNT MAIL","1ST AND 2ND CLASS ACCOUNT MAIL"
Letter,Letter
"Large Letter","Large Letter"
"Small Parcel","Small Parcel"
"Medium Parcel","Medium Parcel"
"Inland Large Letter","Inland Large Letter"
"Inland Letter","Inland Letter"
"Inland format Not Applicable","Inland format Not Applicable"
"Inland Parcel","Inland Parcel"
"International Parcel","International Parcel"
"International Large Letter","International Large Letter"
"International Format Not Applicable","International Format Not Applicable"
"International Letter","International Letter"
"International Flat","International Flat"
"International Pack","International Pack"
"SD 0 - 100G £500 COMP","SD 0 - 100G £500 COMP"
"SD 101 - 500G £500 COMP","SD 101 - 500G £500 COMP"
"SD 501- 1KG £500 COMP","SD 501- 1KG £500 COMP"
"SD 1001G - 2KG £500 COMP","SD 1001G - 2KG £500 COMP"
"SD 0 - 100G £1000 COMP","SD 0 - 100G £1000 COMP"
"SD 101 - 500G £1000 COMP","SD 101 - 500G £1000 COMP"
"SD 501- 1KG £1000 COMP","SD 501- 1KG £1000 COMP"
"SD 1001G - 2KG £1000 COMP","SD 1001G - 2KG £1000 COMP"
"SD 0 - 100G £2500 COMP","SD 0 - 100G £2500 COMP"
"SD 501- 1KG £2500 COMP","SD 501- 1KG £2500 COMP"
"SD 1001G - 2KG £2500 COMP","SD 1001G - 2KG £2500 COMP"
"SD 101 - 500G £2500 COMP","SD 101 - 500G £2500 COMP"
"FORCES AEROGRAMMES","FORCES AEROGRAMMES"
"Consequential Loss £1000","Consequential Loss £1000"
"Consequential Loss £2500","Consequential Loss £2500"
"Consequential Loss £5000","Consequential Loss £5000"
"Consequential Loss £7500","Consequential Loss £7500"
"Consequential Loss £10000","Consequential Loss £10000"
Recorded,Recorded
"Consequential Loss £750","Consequential Loss £750"
"Tracked Signature","Tracked Signature"
"SMS Notification","SMS Notification"
"E-Mail Notification","E-Mail Notification"
"SMS & E-Mail Notification","SMS & E-Mail Notification"
"Local Collect","Local Collect"
"Saturday Guaranteed","Saturday Guaranteed"
"Consequential Loss Insurance","Consequential Loss Insurance"
"Recorded Signed For Mail","Recorded Signed For Mail"
"Tracked Delivery Options","Tracked Delivery Options"
"Tracking Notifications","Tracking Notifications"
"Weight vs. Destination(system weight unit)","Weight vs. Destination(system weight unit)"
"Price vs. Destination","Price vs. Destination"
"# of Items vs. Destination","# of Items vs. Destination"
"Weight (and above)","Weight (and above)"
"Order Subtotal (and above)","Order Subtotal (and above)"
"# of Items (and above)","# of Items (and above)"
POUND,POUND
KILOGRAM,KILOGRAM
"Internal Exception Occurred. Please contact to the developer if occurred again.","Internal Exception Occurred. Please contact to the developer if occurred again."
"Service Unavailable. Please contact to the developer if occurred again.","Service Unavailable. Please contact to the developer if occurred again."
"Service Temporarily Unavailable. Please try again later.","Service Temporarily Unavailable. Please try again later."
"Failed Schema Validation. Please contact to the developer if occurred again.","Failed Schema Validation. Please contact to the developer if occurred again."
"Authorisation Failure. Please make sure Royal Mail API credentials are correct.","Authorisation Failure. Please make sure Royal Mail API credentials are correct."
"Configured Throttling Rate for Service Exceeded. Please try again later.","Configured Throttling Rate for Service Exceeded. Please try again later."
"Could not delete the rate: %1","Could not delete the rate: %1"
"Rate with id ""%1"" does not exist.","Rate with id ""%1"" does not exist."
"Could not save the rate: %1","Could not save the rate: %1"
None,None
"We can't save the cron expression.","We can't save the cron expression."
"All Countries","All Countries"
"Specific Country","Specific Country"
Manifested,Manifested
"Manifest Printed","Manifest Printed"
"Create Shipment","Create Shipment"
"Print Label","Print Label"
"Cancel Shipment","Cancel Shipment"
"Print Manifest","Print Manifest"
Allocated,Allocated
Printed,Printed
Cancelled,Cancelled
"Print Shipping Label","Print Shipping Label"
Print,Print
"Create Print","Create Print"
Edit,Edit
"Are you sure?","Are you sure?"
"Generate Label","Generate Label"
"Service Type","Service Type"
"--Please Select--","--Please Select--"
"Service Offering","Service Offering"
"Container Type","Container Type"
"Notify Customer","Notify Customer"
No,No
Yes,Yes
"Selected Orders","Selected Orders"
Proceed,Proceed
"No allowed container found for selected service.","No allowed container found for selected service."
"Something went wrong.","Something went wrong."
"Starting bulk shipment, please wait...","Starting bulk shipment, please wait..."
"Warning: Please do not close the window during execution.","Warning: Please do not close the window during execution."
"Processing ...","Processing ..."
"Finished bulk shipment execution.","Finished bulk shipment execution."
"Go Back","Go Back"
"Print All Labels","Print All Labels"
"Processing Completed of Order Id","Processing Completed of Order Id"
"Or choose different service and ","Or choose different service and "
"Ship with","Ship with"
"Royal Mail Configuration","Royal Mail Configuration"
Settings,Settings
Shipments,Shipments
"RoyalMail Shipping","RoyalMail Shipping"
Enabled,Enabled
Title,Title
"Client ID","Client ID"
"Client Secret","Client Secret"
"Application ID","Application ID"
"API Username","API Username"
"API Password","API Password"
"Gateway URL","Gateway URL"
"Tracking URL","Tracking URL"
"Department Reference","Department Reference"
"Max length 10. Enter only existing department refernce or leave blank.","Max length 10. Enter only existing department refernce or leave blank."
"Allowed Methods","Allowed Methods"
"Allowed Containers","Allowed Containers"
"Include Service Enhancement","Include Service Enhancement"
"Service Enhancement Types","Service Enhancement Types"
"Include Signature Required","Include Signature Required"
"Signature required for offerings","Signature required for offerings"
"Weight Unit","Weight Unit"
"Maximum Package Weight","Maximum Package Weight"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Applied","Handling Applied"
"Handling Fee","Handling Fee"
"Free Method","Free Method"
"Enable Free Shipping Threshold","Enable Free Shipping Threshold"
"Free Shipping Amount Threshold","Free Shipping Amount Threshold"
Condition,Condition
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
Debug,Debug
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Sort Order","Sort Order"
"Throttling Wait Time","Throttling Wait Time"
"Run EOD Process(Manifest) Automatically","Run EOD Process(Manifest) Automatically"
"Manifest Frequency","Manifest Frequency"
"Manifest Start Time","Manifest Start Time"
"Manifest Reference","Manifest Reference"
"Manifest Description","Manifest Description"
"Ghostscript Command","Ghostscript Command"
"Transaction ID","Transaction ID"
"Manifest Batch #","Manifest Batch #"
"Your Reference","Your Reference"
Status,Status
"Created At","Created At"
"Updated At","Updated At"
"Page Information","Page Information"
ID,ID
"Is Active","Is Active"
"Select Country","Select Country"
Region/State,Region/State
"Leave empty or fill 0 for all regions.","Leave empty or fill 0 for all regions."
City,City
"Leave empty for all.","Leave empty for all."
"Zip/Postal Code From","Zip/Postal Code From"
"Zip/Postal Code To","Zip/Postal Code To"
"Condition Name","Condition Name"
"Condition From Value","Condition From Value"
"Condition To Value","Condition To Value"
Price,Price
"In base currency.","In base currency."
"Method Code","Method Code"
"-- Please Select --","-- Please Select --"
"Service Title","Service Title"
Website,Website
"Apply To","Apply To"
"Add New Rate","Add New Rate"
"Country ID","Country ID"
"Zip Code From","Zip Code From"
"Zip Code To","Zip Code To"
"Condition From","Condition From"
"Condition To","Condition To"
"Rate Title","Rate Title"
"Offering Code","Offering Code"
Active,Active
"Ship with Royal Mail","Ship with Royal Mail"
"Service Offering Code","Service Offering Code"
"Service Format","Service Format"
"Enhancement Type","Enhancement Type"
"Signature (Tracked Products Only)","Signature (Tracked Products Only)"
"Safe Place Available (Tracked Products Only)","Safe Place Available (Tracked Products Only)"
"Royalmail Shipment #","Royalmail Shipment #"
"Shipment ID","Shipment ID"
"Order #","Order #"
"Request Type","Request Type"
"Tracking Number","Tracking Number"
Error,Error
Message,Message
"Manifest Details","Manifest Details"
"Delivery Type(Service)","Delivery Type(Service)"
"This is OPTIONAL. If not selected then ALL Service Offerings are included in the manifest.","This is OPTIONAL. If not selected then ALL Service Offerings are included in the manifest."
"Your Description","Your Description"
"Max length 40 characters. This is for customer reference and will not appear on any paperwork.","Max length 40 characters. This is for customer reference and will not appear on any paperwork."
"Max length 24 characters. Included on the Customer Collection Receipt.","Max length 24 characters. Included on the Customer Collection Receipt."
"Order ID","Order ID"
